ID,Person,Survey_Type,Score,Comment,Permalink,Created_At,Updated_At
124809288,610912670,nps,8,,https://app.delighted.com/r/3TCUe514TIphQEUQkrPZQRyygAfBbHCW,05/08/2020 07:58:35,05/08/2020 07:58:35
124810059,610912574,nps,10,Having advance directives and future planning forces patient to think in a broader scope and significantly reduces burden to their family about difficult decisions about ones own life,https://app.delighted.com/r/aL3fS4EzJZHEUfmDtIVYElcuFRDMUNn3,05/08/2020 08:05:16,05/08/2020 09:10:01
124810151,610912941,nps,9,"The services were very convenient, but at times the system would not allow you to change or edit at times.  ",https://app.delighted.com/r/0ox75zVaCRz29bK6sYSJJUy8qp57lrRz,05/08/2020 08:05:57,05/08/2020 08:06:31
124810185,610912889,nps,10,It was easy and seemed to work as advertised. ,https://app.delighted.com/r/XKcsbQ7Scwyy6Z7bJOI26N9lHwvAGzh3,05/08/2020 08:06:09,05/08/2020 08:06:21
124810870,610912601,nps,10,filling out the will was very simple and easy to navigate. ,https://app.delighted.com/r/SybYiTnY3VDmOviRCesJGg46JIiQUeHJ,05/08/2020 08:11:17,05/08/2020 08:11:52
124810895,610912263,nps,10,"The process was very easy - just answer a few questions and three separate documents are printed!  What would have been a very tedious and stressful process was made to be very easy.  
THANK YOU!",https://app.delighted.com/r/nCAza3rABamgJmCY4yAGlwWPYcvDFtgK,05/08/2020 08:11:32,05/08/2020 08:12:40
124810945,610912612,nps,10,Very easy to use! ,https://app.delighted.com/r/10c8dwf5ozqhsUXoPGLNgjyFw6jSbMc6,05/08/2020 08:11:53,05/08/2020 08:12:21
124811585,610913016,nps,10,The Will was very user friendly which will help a lot of people,https://app.delighted.com/r/uRaSutmvY9WA9EOHCm8rzsH4vAFOgNUv,05/08/2020 08:17:32,05/08/2020 08:21:38
124812081,610912638,nps,10,,https://app.delighted.com/r/3qXK6Ht0PHAmFoxj1dAYNTVvuwnuUf2Z,05/08/2020 08:21:36,05/08/2020 08:21:36
124812122,610912474,nps,10,It was so easy to use and quick. I had been trying to figure out how to do a will being a single mother and this was as easy as it could be!,https://app.delighted.com/r/7pNYw4fGPkTqv76HZbCccfx5zHLjPtM5,05/08/2020 08:21:52,05/08/2020 08:22:25
124812307,610912652,nps,10,The application was simple to use and I appreciate the way you are looking out for those in the healthcare field right now. ,https://app.delighted.com/r/qNtcuKp7U7LictQVCEJrT9TBEahtfH9c,05/08/2020 08:23:01,05/08/2020 08:23:42
124812522,610912222,nps,10,,https://app.delighted.com/r/NUZH8s300zJOgoqBB6JOMLC8YZWyPrzJ,05/08/2020 08:24:50,05/08/2020 08:24:50
124812747,610912619,nps,10,"The free will/healthcare power of attorney, etc for Atrium was very useful and helpful",https://app.delighted.com/r/FTfIdm2Eqvmkxrhm0IqmNQPWw0dgXzCc,05/08/2020 08:26:53,05/08/2020 08:27:22
124813091,610912936,nps,8,,https://app.delighted.com/r/LDoeQmTuVhCg0cVyoZ1CFo8v4TFIN2sG,05/08/2020 08:29:52,05/08/2020 08:29:52
